[2026-06-19 11:22:01] 🔄 Stealth vv7.8 | 📱 Mobile | UA: Mozilla/5.0 (Linux; Android 14; SM-S928B) AppleWebKit/537.36... | Viewport: 430x932 | WebGL: ANGLE (NVIDIA, NVIDIA GeForce RTX 3080 Direct3D11 ...
[2026-06-19 11:25:30] 🔄 Stealth vv7.8 | 📱 Mobile | UA: Mozilla/5.0 (Linux; Android 14; SM-S928B) AppleWebKit/537.36... | Viewport: 430x932 | WebGL: ANGLE (NVIDIA, NVIDIA GeForce RTX 3080 Direct3D11 ...
[2026-06-19 11:25:48] 🔄 Stealth vv7.8 | 📱 Mobile | UA: Mozilla/5.0 (Linux; Android 14; SM-S928B) AppleWebKit/537.36... | Viewport: 430x932 | WebGL: ANGLE (NVIDIA, NVIDIA GeForce RTX 3080 Direct3D11 ...
[2026-06-19 11:46:14] 🔄 Stealth vv7.4 | 💻 Desktop | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20... | Viewport: 2560x1600 | WebGL: ANGLE (AMD, AMD Radeon(TM) Graphics Direct3D11 vs_...
[2026-06-19 12:07:14] 🔄 Stealth vv7.3 | 📱 Mobile | UA: Mozilla/5.0 (Linux; Android 14; SM-A556B) AppleWebKit/537.36... | Viewport: 360x760 | WebGL: ANGLE (Qualcomm, Adreno 740 Direct3D11 vs_5_0 ps_5...
[2026-06-19 12:15:14] 🔄 Stealth vv7.3 | 📱 Mobile | UA: Mozilla/5.0 (Linux; Android 14; SM-A556B) AppleWebKit/537.36... | Viewport: 360x760 | WebGL: ANGLE (Qualcomm, Adreno 740 Direct3D11 vs_5_0 ps_5...
[2026-06-19 12:27:16] 🔄 Stealth vv7.2 | 💻 Desktop | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, l... | Viewport: 1536x864 | WebGL: ANGLE (Qualcomm, Adreno 740 Direct3D11 vs_5_0 ps_5...
[2026-06-19 12:48:16] 🔄 Stealth vv8.0 | 💻 Desktop | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 14_7) AppleWebKit/537... | Viewport: 1680x1050 | WebGL: ANGLE (AMD, AMD Radeon(TM) Graphics Direct3D11 vs_...
[2026-06-19 13:08:16] 🔄 Stealth vv7.6 | 💻 Desktop | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36... | Viewport: 1366x768 | WebGL: ANGLE (Qualcomm, Adreno 740 Direct3D11 vs_5_0 ps_5...
[2026-06-19 13:15:16] 🔄 Stealth vv7.6 | 💻 Desktop | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36... | Viewport: 1366x768 | WebGL: ANGLE (Qualcomm, Adreno 740 Direct3D11 vs_5_0 ps_5...
[2026-06-19 13:23:05] 🔄 Stealth vv7.1 | 💻 Desktop | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, l... | Viewport: 1366x768 | WebGL: ANGLE (NVIDIA, NVIDIA GeForce RTX 4090 Direct3D11 ...
